ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
9675,PlayStation5(PS5),Negative,"waow all these 5 games are redesigns of their announcements for PC ports, these are all just random errors: o",2025-10-14 08:50:50,2025-10-14 08:51:00,109
9675,PlayStation5(PS5),Negative,waow<unk> these ps5 games are retracting their announcements for pc ports surely these are all just coincidental mistakes :-),2025-10-14 08:50:50,2025-10-14 08:51:00,125
9675,PlayStation5(PS5),Negative,They waow all these ps5 games users are retracting their announcements for pc ports surely And these are all just coincidental launch mistakes : x o,2025-10-14 08:50:50,2025-10-14 08:51:00,148
9675,PlayStation5(PS5),Negative,waow all these ps5 games are retracting such announcements for pc ports that these aren merely just coincidental mistakes :o,2025-10-14 08:50:50,2025-10-14 08:51:00,124
9676,PlayStation5(PS5),Positive,"Well, clear-transparent panel will be my top choices then.",2025-10-14 08:50:50,2025-10-14 08:51:00,58
9676,PlayStation5(PS5),Positive,"Well, clear-transparent panel will be my first choice.",2025-10-14 08:50:50,2025-10-14 08:51:00,54
9676,PlayStation5(PS5),Positive,"Well, a transparent panel would be my top choice.",2025-10-14 08:50:50,2025-10-14 08:51:00,49
9676,PlayStation5(PS5),Positive,"Well, clear-transparent binaries will be my top choices then.",2025-10-14 08:50:50,2025-10-14 08:51:00,61
9676,PlayStation5(PS5),Positive,"Well, clear - transparent filing panel will officially be my top choices then.",2025-10-14 08:50:50,2025-10-14 08:51:00,78
9676,PlayStation5(PS5),Positive,"medium, clear-transparent panel will be my top choices on.",2025-10-14 08:50:50,2025-10-14 08:51:00,58
9678,PlayStation5(PS5),Positive,"don't let anyone make you feel bad for wanting to spend your money on a ps5. the world is falling apart, a pandemic is keeping us indoors, things are just going to get worse. invest in enjoying yourself, it's all we've got left",2025-10-14 08:50:50,2025-10-14 08:51:00,227
9678,PlayStation5(PS5),Positive,"Don't let anyone blame you for wanting to spend your money on a shoe. The world is falling apart, a pandemic is keeping us indoors, things are only going to get worse. Invest in pleasure, it's all we have left",2025-10-14 08:50:50,2025-10-14 08:51:00,209
9678,PlayStation5(PS5),Positive,"Don't let anyone feel bad for wanting to spend their money on the fact that the world is falling apart, the pandemic is keeping us inside, it's only going to get worse. Invest in fun, that's all we have left.",2025-10-14 08:50:50,2025-10-14 08:51:00,208
9678,PlayStation5(PS5),Positive,"don't let media make you feel bad for wanting to spend your money on a ps5. the world is drifting apart, a pandemic was keeping us indoors, things are just going to get worse. invest out enjoying yourself, it's last we've got left",2025-10-14 08:50:50,2025-10-14 08:51:00,230
9678,PlayStation5(PS5),Positive,"don't let anyone here make it you feel bad for someone wanting to just spend up your money more on buying a ps5. the world is falling apart, a pandemic is keeping us indoors, things are just occasionally going to get worse. invest in enjoying things yourself, it's all chance we've got left",2025-10-14 08:50:50,2025-10-14 08:51:00,290
9678,PlayStation5(PS5),Positive,"don't let IT make you feel inadequate for wanting to spend your money on a ps5. the community is falling apart, every pandemic barely keeping folks going, things are just trying to get worse. invest in enjoying yourself, it's all we've got left",2025-10-14 08:50:50,2025-10-14 08:51:00,244
9679,PlayStation5(PS5),Positive,Incredible. Can’t wait to continue playing this on PS5,2025-10-14 08:50:50,2025-10-14 08:51:00,54
9679,PlayStation5(PS5),Positive,Unbelievable. I can't wait to continue the game on the PS5.,2025-10-14 08:50:50,2025-10-14 08:51:00,59
9679,PlayStation5(PS5),Positive,Unbelievable. Can't wait to continue playing this on PS5,2025-10-14 08:50:50,2025-10-14 08:51:00,56
9679,PlayStation5(PS5),Positive,Incredible. Can’t wait to continue playing this on YouTube,2025-10-14 08:50:50,2025-10-14 08:51:00,58
9679,PlayStation5(PS5),Positive,THE Incredible. Can only ’ t wait enough to continue playing this on PS5,2025-10-14 08:50:50,2025-10-14 08:51:00,72
9679,PlayStation5(PS5),Positive,Incredible. Can’t wait to continue using this on my,2025-10-14 08:50:50,2025-10-14 08:51:00,51
9681,PlayStation5(PS5),Positive,Interesting,2025-10-14 08:50:50,2025-10-14 08:51:00,11
9681,PlayStation5(PS5),Positive,nan,2025-10-14 08:50:50,2025-10-14 08:51:00,3
9681,PlayStation5(PS5),Positive,Interesting,2025-10-14 08:50:50,2025-10-14 08:51:00,11
9681,PlayStation5(PS5),Positive,Interesting,2025-10-14 08:50:50,2025-10-14 08:51:00,11
9681,PlayStation5(PS5),Positive,The Interesting,2025-10-14 08:50:50,2025-10-14 08:51:00,15
9681,PlayStation5(PS5),Positive,Interesting,2025-10-14 08:50:50,2025-10-14 08:51:00,11
9682,PlayStation5(PS5),Positive,look i would really enjoy if they brought kaz hirai up on stage again to announce a five hundred ninety nine ps5 price,2025-10-14 08:50:50,2025-10-14 08:51:00,118
9682,PlayStation5(PS5),Positive,look that I would really enjoy if they brought kaz hirai back on stage to announce a price of ninety-nine PS5,2025-10-14 08:50:50,2025-10-14 08:51:00,109
9682,PlayStation5(PS5),Positive,"Look, I would be very happy if they brought Fazil Hirai back on stage to announce the price of five hundred and ninety-nine dollars.",2025-10-14 08:50:50,2025-10-14 08:51:00,132
9682,PlayStation5(PS5),Positive,look i would really enjoy that they brought kaz hirai up on stage again to announce a five minute ninety nine ps5 price,2025-10-14 08:50:50,2025-10-14 08:51:00,119
9682,PlayStation5(PS5),Positive,look what i would really enjoy if they brought kaz hirai up or on stage again or to announce such a five hundred in ninety nine ps5 price,2025-10-14 08:50:50,2025-10-14 08:51:00,137
9682,PlayStation5(PS5),Positive,look i gonna really hate how they brought kaz hirai up on stage again to raise a five hundred ninety nine ps5 price,2025-10-14 08:50:50,2025-10-14 08:51:00,115
9683,PlayStation5(PS5),Neutral,"While the store now is mess, with PS5 and redesign coming, this is something they could have accounted for or at least left on web version.",2025-10-14 08:50:50,2025-10-14 08:51:00,139
